,state,Year,Uninsured: %
588,AL,2011,18.2
589,AL,2010,19.0
590,AL,2009,15.8
591,AL,2008,15.9
592,AL,2007,16.1
593,AL,2006,17.8
594,AL,2014,16.3
595,AL,2013,17.5
596,AL,2012,18.0
597,AL,2011,22.0
598,AL,2010,17.6
599,AL,2009,19.2
600,AL,2008,18.0
601,AL,2007,18.7
602,AL,2006,13.6
603,AL,2014,16.3
604,AL,2013,16.8
605,AL,2012,17.7
606,AL,2011,18.1
607,AL,2010,19.3
608,AL,2009,17.9
609,AL,2008,17.2
610,AL,2007,12.8
611,AL,2006,14.3
612,AK,2014,19.0
613,AK,2013,20.8
614,AK,2012,22.3
615,AK,2011,21.7
616,AK,2010,21.4
617,AK,2009,22.7
618,AK,2008,20.5
619,AK,2007,19.4
620,AK,2006,19.4
621,AK,2014,39.3
622,AK,2013,40.1
623,AK,2012,41.6
624,AK,2011,46.0
625,AK,2010,41.2
626,AK,2009,36.7
627,AK,2008,31.7
628,AK,2007,33.0
629,AK,2006,37.0
630,AK,2014,25.2
631,AK,2013,27.7
632,AK,2012,29.3
633,AK,2011,35.5
634,AK,2010,31.3
635,AK,2009,31.5
636,AK,2008,28.2
637,AK,2007,28.1
638,AK,2006,28.1
639,AK,2014,16.7
640,AK,2013,18.1
641,AK,2012,19.8
642,AK,2011,18.3
643,AK,2010,18.4
644,AK,2009,19.9
645,AK,2008,17.2
646,AK,2007,17.9
647,AK,2006,17.7
648,AK,2014,26.0
649,AK,2013,27.8
650,AK,2012,29.6
651,AK,2011,28.7
652,AK,2010,27.8
653,AK,2009,30.3
654,AK,2008,26.0
655,AK,2007,17.8
656,AK,2006,16.1
657,AK,2014,21.7
658,AK,2013,22.9
659,AK,2012,24.1
660,AK,2011,22.8
661,AK,2010,22.1
662,AK,2009,27.4
663,AK,2008,27.6
664,AK,2007,24.6
665,AK,2006,22.6
666,AK,2014,20.9
667,AK,2013,22.3
668,AK,2012,23.1
669,AK,2011,19.3
670,AK,2010,19.5
